accuracy,loss,val_accuracy,val_loss
0.6978776454925537,0.563113272190094,0.8262626528739929,0.399081826210022
0.8454431891441345,0.36081379652023315,0.8767676949501038,0.3086870312690735
0.877902626991272,0.3017040491104126,0.8989899158477783,0.25765833258628845
0.8991261124610901,0.2568514049053192,0.9151515364646912,0.23369072377681732
0.9093632698059082,0.22822599112987518,0.9272727370262146,0.20532025396823883
0.9200998544692993,0.20600460469722748,0.939393937587738,0.18900571763515472
0.9305867552757263,0.19113630056381226,0.9353535175323486,0.18425460159778595
0.9385767579078674,0.17335040867328644,0.9494949579238892,0.1713840216398239
0.9373283386230469,0.16983985900878906,0.9494949579238892,0.1654372662305832
0.9440699219703674,0.15230059623718262,0.9515151381492615,0.15790531039237976
0.9475655555725098,0.15233661234378815,0.9515151381492615,0.15409012138843536
0.9538077116012573,0.13533209264278412,0.9515151381492615,0.14902113378047943
0.9475655555725098,0.13663709163665771,0.9595959782600403,0.14004108309745789
0.9505618214607239,0.13992208242416382,0.9595959782600403,0.1393277496099472
0.9563046097755432,0.12862682342529297,0.9575757384300232,0.13618993759155273
0.9602996110916138,0.11832009255886078,0.9555555582046509,0.13736778497695923
0.9598002433776855,0.11611538380384445,0.9555555582046509,0.13717769086360931
0.9657927751541138,0.10744845122098923,0.9575757384300232,0.13319921493530273
0.963545560836792,0.10806357115507126,0.9555555582046509,0.13294878602027893
0.9630461931228638,0.10802546888589859,0.9555555582046509,0.1252370923757553
0.9680399298667908,0.1009550541639328,0.9575757384300232,0.12377961724996567
0.9660424590110779,0.10355371981859207,0.9595959782600403,0.11984293162822723
0.9660424590110779,0.10296135395765305,0.9575757384300232,0.11912694573402405
