accuracy,loss,val_accuracy,val_loss
0.9297592639923096,0.24051815271377563,0.9783333539962769,0.07894439995288849
0.9797592759132385,0.06561998277902603,0.9850000143051147,0.053103577345609665
0.9857407212257385,0.04558419808745384,0.9879999756813049,0.045855555683374405
0.9896666407585144,0.034977544099092484,0.9883333444595337,0.04355263710021973
0.9921851754188538,0.02756751887500286,0.9888333082199097,0.04257594421505928
0.9942963123321533,0.021600866690278053,0.9894999861717224,0.041640374809503555
0.9956111311912537,0.016934692859649658,0.9881666898727417,0.04506863281130791
0.9960926175117493,0.014059539884328842,0.9878333210945129,0.04875823110342026
0.9969074130058289,0.011406166478991508,0.9898333549499512,0.044709838926792145
0.996925950050354,0.010814369656145573,0.9901666641235352,0.04901539534330368
0.9976851940155029,0.008225725963711739,0.987500011920929,0.05943070352077484
0.9975185394287109,0.008284410461783409,0.9886666536331177,0.05271724611520767
0.9976666569709778,0.00740933557972312,0.9900000095367432,0.051771316677331924
0.9981296062469482,0.005628705490380526,0.9891666769981384,0.05388060584664345
0.9982592463493347,0.0055079711601138115,0.9894999861717224,0.05942072719335556
0.9984259009361267,0.004495265427976847,0.9893333315849304,0.05521039292216301
0.9989444613456726,0.0036032209172844887,0.9893333315849304,0.06307754665613174
0.9983333349227905,0.0050907745026052,0.9884999990463257,0.061169687658548355
0.9990741014480591,0.0028234822675585747,0.9888333082199097,0.06521321088075638
0.9990370273590088,0.002826686715707183,0.9893333315849304,0.06750208884477615
